Date,Target,Open,Close,Max,Min
2001-11-07,1,-0.0886,1.5980,4.4578,-0.6870
2001-11-08,0,0.1347,-0.4927,2.1641,-1.1400
2001-11-09,1,-0.0956,1.4001,1.7686,-1.1376
2001-11-12,0,-0.0157,-1.2966,0.2824,-3.9903
2001-11-13,1,0.1908,2.7547,4.1080,0.1908
2001-11-14,0,0.0774,-0.7147,1.2233,-1.3404
2001-11-16,1,0.0935,0.4434,1.7007,-0.1482
2001-11-19,1,0.1784,0.8040,1.9524,0.1474
2001-11-20,0,0.0385,-2.7241,0.0847,-2.8745
2001-11-21,1,0.0633,1.2268,1.5234,-0.6191
2001-11-22,1,0.0000,1.7434,2.0271,0.0000
2001-11-23,1,0.1382,3.0634,3.8426,0.1382
2001-11-26,1,0.1414,2.4722,2.4722,0.1414
2001-11-27,0,0.0799,-1.1475,0.2250,-1.9817
2001-11-28,0,-0.3682,-4.3881,-0.3682,-5.2056
2001-11-29,0,0.0000,-2.1977,1.2822,-3.0969
2001-11-30,1,0.0628,1.5272,2.4585,-0.2516
2001-12-03,1,-0.1393,3.0762,3.0762,-0.4806
2001-12-04,0,0.2845,-1.4274,1.7026,-2.0071
2001-12-05,1,0.2962,1.7717,1.7717,-0.3352
2001-12-06,1,0.0000,1.1664,1.4319,-1.1424
2001-12-07,0,0.1919,-1.7886,0.9044,-2.2861
2001-12-10,1,0.0000,1.0993,1.0993,-0.8002
2001-12-11,0,0.0669,-0.7315,1.1020,-0.8140
2001-12-12,1,0.0150,1.5979,1.6937,-0.3828
2001-12-13,0,0.1032,-3.1076,0.1253,-3.1380
2001-12-14,0,-0.1446,-1.4479,0.0456,-1.9508
2001-12-17,0,0.0463,-0.3633,0.7993,-0.3633
2001-12-18,1,0.1780,3.6874,3.8142,0.0929
2001-12-19,0,0.0597,-0.8019,0.8251,-0.8470
2001-12-20,0,-0.1431,-2.8390,-0.1431,-3.6864
2001-12-21,1,0.1315,3.4317,3.5513,0.1315
2001-12-26,0,-0.0150,-0.0823,0.5743,-0.9318
2001-12-27,1,0.0973,2.9360,3.4218,0.0823
2001-12-28,0,-0.1091,-1.3024,1.5365,-1.8045
2002-01-02,1,0.0589,2.1422,2.3582,-0.0516
2002-01-03,1,1.8074,2.7937,2.9408,1.7791
2002-01-04,1,-0.1052,0.4686,0.6498,-1.1421
2002-01-07,1,-0.0349,0.3274,0.5636,-0.4125
2002-01-08,0,0.0417,-1.4783,0.0417,-1.9665
2002-01-09,0,-0.0777,-1.0430,0.1552,-1.7731
2002-01-10,0,-0.0785,-3.2695,-0.0785,-3.7052
2002-01-11,1,-0.1180,0.1252,1.9340,-0.1180
2002-01-14,0,0.0515,-3.4823,0.1030,-3.8947
2002-01-15,0,0.0686,-0.8495,1.8125,-1.4199
2002-01-16,1,-0.0384,0.5595,1.3361,-0.5395
2002-01-17,1,0.1909,1.9152,2.0800,0.1909
2002-01-18,1,0.0225,0.2696,0.5235,-0.5639
2002-01-21,0,-0.0449,-1.6436,-0.0449,-1.8033
2002-01-22,0,0.1671,-1.1545,1.3290,-1.5243
2002-01-23,1,0.1614,1.7381,2.1379,-0.1693
2002-01-24,0,0.0529,-0.5304,0.5802,-0.6445
2002-01-28,0,-0.0076,-1.2231,0.4019,-1.3154
2002-01-29,0,0.0615,-3.9295,1.3749,-4.1296
2002-01-30,1,0.0880,0.2477,1.0029,-1.6128
2002-01-31,1,0.2471,1.4969,2.2097,0.2311
2002-02-01,0,0.0157,-0.4886,0.4862,-1.2180
2002-02-04,0,-0.0869,-1.1600,-0.0316,-1.9382
2002-02-05,1,0.3510,1.8606,2.0957,-0.7863
2002-02-06,1,0.0235,0.0235,1.0534,-0.6453
2002-02-07,0,0.0078,-0.5268,0.1802,-0.5268
2002-02-08,0,0.0000,-0.6803,0.0709,-0.7359
2002-02-13,1,0.0079,2.8407,2.8407,-0.7489
2002-02-14,1,0.0077,2.1675,2.1675,-0.4098
2002-02-15,0,-0.1738,-0.1133,0.4144,-0.5755
2002-02-18,0,-0.1664,-0.8197,0.0605,-1.5463
2002-02-19,0,0.0229,-0.9956,0.9330,-1.0572
2002-02-20,1,0.0692,2.3656,2.5683,-0.5635
